62	159
9	5
9	6
8	3
61	2
61	37
61	53
60	32
59	3
59	8
59	15
59	36
59	45
58	38
57	5
57	6
57	9
57	13
57	17
57	39
57	41
57	48
57	54
56	5
56	6
55	15
55	51
54	1
54	6
54	7
54	13
54	19
54	41
53	43
52	14
52	29
52	38
52	40
51	4
51	11
51	18
51	21
51	23
51	24
51	29
51	45
51	50
50	14
50	16
50	20
50	33
50	42
50	45
49	34
49	46
47	0
47	10
47	20
47	28
47	30
47	42
46	43
45	8
45	15
45	18
45	21
45	23
45	24
45	29
45	37
44	2
44	20
44	34
44	38
43	14
43	29
43	33
43	37
43	38
42	0
42	2
42	10
42	30
41	1
41	9
41	13
40	0
40	7
40	14
40	15
40	33
40	36
40	37
39	36
38	14
38	16
38	20
38	33
37	8
37	14
37	16
37	21
37	33
37	34
37	36
36	1
36	20
36	23
35	29
34	14
34	33
33	12
33	14
33	16
33	21
32	9
32	13
31	17
30	7
30	19
30	28
29	10
29	18
29	21
29	24
28	1
28	8
28	20
27	1
27	7
27	17
27	25
27	26
26	1
26	25
25	17
24	14
24	15
24	18
22	17
21	18
20	8
20	16
20	18
19	1
19	7
18	15
17	1
17	6
17	9
17	13
16	14
15	0
14	0
14	3
13	5
13	6
13	9
10	0
10	2
